Gene Name,Gene Symbol,Entrez Gene ID,Classification
"solute carrier family 39 (zinc transporter), member 4",SLC39A4,55630,Ion Transport
"solute carrier family 39 (metal ion transporter), member 5",SLC39A5,283375,Ion Transport
"solute carrier family 39 (metal ion transporter), member 6",SLC39A6,25800,Ion Transport
"solute carrier family 39, member 7",SLC39A7,7922,Ion Transport
"solute carrier family 39 (metal ion transporter), member 8",SLC39A8,64116,Ion Transport
"solute carrier family 39 (zinc transporter), member 9",SLC39A9,55334,Ion Transport
"solute carrier family 3, member 1",SLC3A1,6519,Ion Transport
"solute carrier family 3 (activators of dibasic and neutral amino acid transport), member 2",SLC3A2,6520,Ion Transport
"solute carrier family 40 (iron-regulated transporter), member 1",SLC40A1,30061,Ion Transport
"solute carrier family 41, member 1",SLC41A1,254428,Ion Transport
"solute carrier family 41, member 2",SLC41A2,84102,Ion Transport
"solute carrier family 41, member 3",SLC41A3,54946,Ion Transport
voltage-dependent anion channel 1,VDAC1,7416,Ion Transport
voltage-dependent anion channel 2,VDAC2,7417,Ion Transport
voltage-dependent anion channel 3,VDAC3,7419,Ion Transport
zinc activated ligand-gated ion channel,ZACN,353174,Ion Transport
hephaestin,HEPH,9843,Ion Transport
"ligand-gated ion channel, zinc activated 1",LGICZ1,353174,Ion Transport
organic anion transporter LST-3b,LST-3TM12,338821,Ion Transport
magnesium transporter 1,MAGT1,84061,Ion Transport
Mucolipin 1,MCOLN1,57192,Ion Transport
Mucolipin 2,MCOLN2,255231,Ion Transport
Mucolipin 3,MCOLN3,55283,Ion Transport
methylmalonic aciduria (cobalamin deficiency) cblA type,MMAA,166785,Ion Transport
"sodium leak channel, non-selective",NALCN,259232,Ion Transport
non imprinted in Prader-Willi/Angelman syndrome 1,NIPA1,123606,Ion Transport
"Oculocutaneous albinism II (pink-eye dilution homolog, mouse)",OCA2,4948,Ion Transport
ORAI calcium release-activated calcium modulator 1,ORAI1,84876,Ion Transport
ORAI calcium release-activated calcium modulator 2,ORAI2,80228,Ion Transport
ORAI calcium release-activated calcium modulator 3,ORAI3,93129,Ion Transport
Polycystic kidney disease 1 (autosomal dominant),PKD1,5310,Ion Transport
Polycystic kidney disease 2 (autosomal dominant),PKD2,5311,Ion Transport
Polycystic kidney disease 2-like 1,PKD2L1,9033,Ion Transport
ryanodine receptor 1 (skeletal),RYR1,6261,Ion Transport
ryanodine receptor 2 (cardiac),RYR2,6262,Ion Transport
ryanodine receptor 3,RYR3,6263,Ion Transport
"Solute carrier family 22, member 24",SLC22A24,283238,Ion Transport
"Solute carrier family 22, member 25",SLC25A25,387601,Ion Transport
"solute carrier family 31, member 1",SLC31A1,1317,Ion Transport
"solute carrier family 31, member 2",SLC31A2,1318,Ion Transport
sarcolipin,SLN,6588,Ion Transport
"transcobalamin I (vitamin B12 binding protein, R binder family)",TCN1,6947,Ion Transport
transcobalamin II; macrocytic anemia,TCN2,6948,Ion Transport
transferrin,TF,7018,Ion Transport
"transient receptor potential cation channel, subfamily A, member 1",TRPA1,8989,Ion Transport
"transient receptor potential cation channel, subfamily C, member 1",TRPC1,7220,Ion Transport
"transient receptor potential cation channel, subfamily C, member 3",TRPC3,7222,Ion Transport
"transient receptor potential cation channel, subfamily C, member 4",TRPC4,7223,Ion Transport
"transient receptor potential cation channel, subfamily C, member 5",TRPC5,7224,Ion Transport
"transient receptor potential cation channel, subfamily C, member 6",TRPC6,7225,Ion Transport
"transient receptor potential cation channel, subfamily C, member 7",TRPC7,57113,Ion Transport
"transient receptor potential cation channel, subfamily M, member 1",TRPM1,4308,Ion Transport
"transient receptor potential cation channel, subfamily M, member 2",TRPM2,7226,Ion Transport
"transient receptor potential cation channel, subfamily M, member 3",TRPM3,80036,Ion Transport
"transient receptor potential cation channel, subfamily M, member 4",TRPM4,54795,Ion Transport
"transient receptor potential cation channel, subfamily M, member 5",TRPM5,29850,Ion Transport
"transient receptor potential cation channel, subfamily M, member 6",TRPM6,140803,Ion Transport
"transient receptor potential cation channel, subfamily M, member 7",TRPM7,54822,Ion Transport
"transient receptor potential cation channel, subfamily M, member 8",TRPM8,79054,Ion Transport
"transient receptor potential cation channel, subfamily V, member 1",TRPV1,7442,Ion Transport
"transient receptor potential cation channel, subfamily V, member 2",TRPV2,51393,Ion Transport
"transient receptor potential cation channel, subfamily V, member 3",TRPV3,162514,Ion Transport
"transient receptor potential cation channel, subfamily V, member 4",TRPV4,59341,Ion Transport
"transient receptor potential cation channel, subfamily V, member 5",TRPV5,56302,Ion Transport
"transient receptor potential cation channel, subfamily V, member 6",TRPV6,55503,Ion Transport
Tweety homolog 1 (Drosophila),TTYH1,57348,Ion Transport
Tweety homolog 2 (Drosophila),TTYH2,94015,Ion Transport
Tweety homolog 3 (Drosophila),TTYH3,80727,Ion Transport
"3-hydroxybutyrate dehydrogenase, type 1",BDH1,622,Ketone Bodies
"3-hydroxybutyrate dehydrogenase, type 2",BDH2,56898,Ketone Bodies
3-oxoacid CoA transferase 1,OXCT1,5019,Ketone Bodies
3-oxoacid CoA transferase 2,OXCT2,64064,Ketone Bodies
ATP citrate lyase,ACLY,47,Krebs
"aconitase 1, soluble",ACO1,48,Krebs
"aconitase 2, mitochondrial",ACO2,50,Krebs
citrate synthase,CS,1431,Krebs
D-2-hydroxyglutarate dehydrogenase,D2HGDH,728294,Krebs
dihydrolipoamide S-succinyltransferase (E2 component of 2-oxo-glutarate complex),DLST ,1743,Krebs
fumarate hydratase,FH,2271,Krebs
holocytochrome c synthase (cytochrome c heme-lyase),HCCS,3052,Krebs
"isocitrate dehydrogenase 1 (NADP+), soluble",IDH1,3417,Krebs
"isocitrate dehydrogenase 2 (NADP+), mitochondrial",IDH2,3418,Krebs
isocitrate dehydrogenase 3 (NAD+) alpha,IDH3A,3419,Krebs
isocitrate dehydrogenase 3 (NAD+) beta,IDH3B,3420,Krebs
isocitrate dehydrogenase 3 (NAD+) gamma,IDH3G,3421,Krebs
L-2-hydroxyglutarate dehydrogenase,L2HGDH,79944,Krebs
"malate dehydrogenase 1, NAD (soluble)",MDH1,4190,Krebs
"malate dehydrogenase 1B, NAD (soluble)",MDH1B,130752,Krebs
"malate dehydrogenase 2, NAD (mitochondrial)",MDH2,4191,Krebs
"malic enzyme 1, NADP(+)-dependent, cytosolic",ME1,4199,Krebs
"malic enzyme 2, NAD(+)-dependent, mitochondrial",ME2,4200,Krebs
"malic enzyme 3, NADP(+)-dependent, mitochondrial",ME3,10873,Krebs
oxoglutarate (alpha-ketoglutarate) dehydrogenase (lipoamide),OGDH,4967,Krebs
oxoglutarate dehydrogenase-like,OGDHL,55753,Krebs
pyruvate carboxylase,PC,5091,Krebs
"succinate-CoA ligase, ADP-forming, beta subunit",SUCLA2,8803,Krebs
"succinate-CoA ligase, alpha subunit",SUCLG1,8802,Krebs
"succinate-CoA ligase, GDP-forming, beta subunit",SUCLG2,8801,Krebs
aminoadipate-semialdehyde dehydrogenase,AASDH,132949,Lysine
aminoadipate-semialdehyde dehydrogenase-phosphopantetheinyl transferase,AASDHPPT,60496,Lysine
aminoadipate-semialdehyde synthase,AASS,10157,Lysine
pipecolic acid oxidase,PIPOX,51268,Lysine
"1-acylglycerol-3-phosphate O-acyltransferase 1 (lysophosphatidic acid acyltransferase, alpha)",AGPAT1,10554,Membrane Lipid
"1-acylglycerol-3-phosphate O-acyltransferase 2 (lysophosphatidic acid acyltransferase, beta)",AGPAT2,10555,Membrane Lipid
1-acylglycerol-3-phosphate O-acyltransferase 3,AGPAT3,56894,Membrane Lipid
"1-acylglycerol-3-phosphate O-acyltransferase 4 (lysophosphatidic acid acyltransferase, delta)",AGPAT4,56895,Membrane Lipid
"1-acylglycerol-3-phosphate O-acyltransferase 5 (lysophosphatidic acid acyltransferase, epsilon)",AGPAT5,55326,Membrane Lipid
"1-acylglycerol-3-phosphate O-acyltransferase 6 (lysophosphatidic acid acyltransferase, zeta)",AGPAT6,137964,Membrane Lipid
1-acylglycerol-3-phosphate O-acyltransferase 9,AGPAT9,84803,Membrane Lipid
CDP-diacylglycerol synthase (phosphatidate cytidylyltransferase) 1,CDS1,1040,Membrane Lipid
CDP-diacylglycerol synthase (phosphatidate cytidylyltransferase) 2,CDS2,8760,Membrane Lipid
choline/ethanolamine phosphotransferase 1,CEPT1,10390,Membrane Lipid
choline kinase alpha,CHKA,1119,Membrane Lipid
choline kinase beta,CHKB ,1120,Membrane Lipid
choline phosphotransferase 1,CHPT1,56994,Membrane Lipid
Charcot-Leyden crystal protein,CLC,1178,Membrane Lipid
cardiolipin synthase 1,CRLS1,54675,Membrane Lipid
carnitine O-octanoyltransferase,CROT,54677,Membrane Lipid
"diacylglycerol lipase, alpha",DAGLA,747,Membrane Lipid
"diacylglycerol lipase, beta",DAGLB,221955,Membrane Lipid
"diacylglycerol kinase, alpha 80kDa",DGKA,1606,Membrane Lipid
"diacylglycerol kinase, beta 90kDa",DGKB,1607,Membrane Lipid
"diacylglycerol kinase, delta 130kDa",DGKD,8527,Membrane Lipid
"diacylglycerol kinase, epsilon 64kDa",DGKE,8526,Membrane Lipid
"diacylglycerol kinase, gamma 90kDa",DGKG,1608,Membrane Lipid
"diacylglycerol kinase, eta",DGKH,160851,Membrane Lipid
"diacylglycerol kinase, iota",DGKI,9162,Membrane Lipid
"diacylglycerol kinase, kappa",DGKK,139189,Membrane Lipid
"diacylglycerol kinase, theta 110kDa",DGKQ,1609,Membrane Lipid
"diacylglycerol kinase, zeta 104kDa",DGKZ,8525,Membrane Lipid
ethanolamine kinase 1,ETNK1,55500,Membrane Lipid
ethanolamine kinase 2,ETNK2,55224,Membrane Lipid
glycerophosphodiester phosphodiesterase 1,GDE1,51573,Membrane Lipid
glycerol kinase,GK,2710,Membrane Lipid
glycerol kinase 2,GK2,2712,Membrane Lipid
glycerol kinase 5 (putative),GK5,256356,Membrane Lipid
glyceronephosphate O-acyltransferase,GNPAT,8443,Membrane Lipid
"glycerol-3-phosphate acyltransferase, mitochondrial",GPAM,57678,Membrane Lipid
glycerol-3-phosphate dehydrogenase 1 (soluble),GPD1,2819,Membrane Lipid
glycerol-3-phosphate dehydrogenase 1-like,GPD1L,23171,Membrane Lipid
glycerol-3-phosphate dehydrogenase 2 (mitochondrial),GPD2,2820,Membrane Lipid
lysophosphatidylcholine acyltransferase 1,LPCAT1,79888,Membrane Lipid
lysophosphatidylcholine acyltransferase 2,LPCAT2,54947,Membrane Lipid
membrane bound O-acyltransferase domain containing 5,LPCAT3,10162,Membrane Lipid
lysophosphatidylcholine acyltransferase 4,LPCAT4,254531,Membrane Lipid
lysophosphatidylglycerol acyltransferase 1,LPGAT1,9926,Membrane Lipid
lipin 1,LPIN1,23175,Membrane Lipid
lipin 2,LPIN2,9663,Membrane Lipid
lipin 3,LPIN3,64900,Membrane Lipid
lysophospholipase I,LYPLA1,10434,Membrane Lipid
lysophospholipase II,LYPLA2,11313,Membrane Lipid
lysophospholipase-like 1,LYPLAL1,127018,Membrane Lipid
membrane bound O-acyltransferase domain containing 1,MBOAT1,154141,Membrane Lipid
membrane bound O-acyltransferase domain containing 2,MBOAT2,129642,Membrane Lipid
membrane bound O-acyltransferase domain containing 4,MBOAT4,619373,Membrane Lipid
membrane bound O-acyltransferase domain containing 7,MBOAT7,79143,Membrane Lipid
monoacylglycerol O-acyltransferase 1,MOGAT1,116255,Membrane Lipid
monoacylglycerol O-acyltransferase 2,MOGAT2,80168,Membrane Lipid
monoacylglycerol O-acyltransferase 3,MOGAT3,346606,Membrane Lipid
N-acyl-phosphatidylethanolamine-hydrolyzing phospholipase D,NAPE-PLD,222236,Membrane Lipid
phosphatidic acid phosphatase type 2,PAP2D,163404,Membrane Lipid
"phosphate cytidylyltransferase 1, choline, alpha",PCYT1A,5130,Membrane Lipid
"phosphate cytidylyltransferase 1, choline, beta",PCYT1B,9468,Membrane Lipid
"phosphate cytidylyltransferase 2, ethanolamine",PCYT2,5833,Membrane Lipid
phosphatidylethanolamine N-methyltransferase,PEMT,10400,Membrane Lipid
phosphatidylglycerophosphate synthase 1,PGS1,9489,Membrane Lipid
phosphatase orphan 1,PHOSPHO1,162466,Membrane Lipid
phosphatidylserine decarboxylase,PISD,23761,Membrane Lipid
phospholipase A1 member A,PLA1A,51365,Membrane Lipid
"phospholipase A2, group X",PLA2G10,8399,Membrane Lipid
"phospholipase A2, group XIIA",PLA2G12A,81579,Membrane Lipid
"phospholipase A2, group XIIB",PLA2G12B,84647,Membrane Lipid
"phospholipase A2, group XV",PLA2G15,23659,Membrane Lipid
"phospholipase A2, group XVI",PLA2G16,11145,Membrane Lipid
"phospholipase A2, group IB (pancreas)",PLA2G1B,5319,Membrane Lipid
"phospholipase A2, group IIA (platelets, synovial fluid)",PLA2G2A,5320,Membrane Lipid
"phospholipase A2, group IIC",PLA2G2C,391013,Membrane Lipid
"phospholipase A2, group IID",PLA2G2D,26279,Membrane Lipid
"phospholipase A2, group IIE",PLA2G2E,30814,Membrane Lipid
"phospholipase A2, group IIF",PLA2G2F,64600,Membrane Lipid
"phospholipase A2, group III",PLA2G3,50487,Membrane Lipid
"phospholipase A2, group IVA (cytosolic, calcium-dependent)",PLA2G4A,5321,Membrane Lipid
"phospholipase A2, group IVB (cytosolic)",PLA2G4B,100137049,Membrane Lipid
"phospholipase A2, group IVC (cytosolic, calcium-independent)",PLA2G4C,8605,Membrane Lipid
"phospholipase A2, group IVD (cytosolic)",PLA2G4D,283748,Membrane Lipid
"phospholipase A2, group IVE",PLA2G4E,123745,Membrane Lipid
"Phospholipase A2, group IVF",PLA2G4F,255189,Membrane Lipid
"phospholipase A2, group V",PLA2G5,5322,Membrane Lipid
"phospholipase A2, group VI (cytosolic, calcium-independent)",PLA2G6,8398,Membrane Lipid
"phospholipase A2, group VII (platelet-activating factor acetylhydrolase, plasma)",PLA2G7,7941,Membrane Lipid
phospholipase B1,PLB1,151056,Membrane Lipid
"phospholipase C, beta 1 (phosphoinositide-specific)",PLCB1,23236,Membrane Lipid
"phospholipase C, beta 2",PLCB2,5330,Membrane Lipid
"phospholipase C, beta 3 (phosphatidylinositol-specific)",PLCB3,5331,Membrane Lipid
"phospholipase C, beta 4",PLCB4,5332,Membrane Lipid
"phospholipase C, delta 1",PLCD1,5333,Membrane Lipid
"phospholipase C, delta 3",PLCD3,113026,Membrane Lipid
"phospholipase C, delta 4",PLCD4,84812,Membrane Lipid
"Phospholipase C, epsilon 1",PLCE1,51196,Membrane Lipid
"phospholipase C, gamma 1",PLCG1,5335,Membrane Lipid
"Phospholipase C, gamma 2 (phosphatidylinositol-specific)",PLCG2,5336,Membrane Lipid
"phospholipase C, eta 1",PLCH1,23007,Membrane Lipid
"phospholipase C, eta 2",PLCH2,9651,Membrane Lipid
phospholipase C-like 1,PLCL1,5334,Membrane Lipid
phospholipase C-like 2,PLCL2,23228,Membrane Lipid
"phosphatidylinositol-specific phospholipase C, X domain containing 1",PLCXD1,55344,Membrane Lipid
"phosphatidylinositol-specific phospholipase C, X domain containing 2",PLCXD2,257068,Membrane Lipid
"phosphatidylinositol-specific phospholipase C, X domain containing 3",PLCXD3,345557,Membrane Lipid
"phospholipase C, zeta 1",PLCZ1,89869,Membrane Lipid
"phospholipase D1, phosphatidylcholine-specific",PLD1,5337,Membrane Lipid
phospholipase D2,PLD2,5338,Membrane Lipid
"phospholipase D family, member 3",PLD3,23646,Membrane Lipid
"phospholipase D family, member 4",PLD4,122618,Membrane Lipid
"phospholipase D family, member 5",PLD5,200150,Membrane Lipid
"phospholipase D family, member 6",PLD6,201164,Membrane Lipid
phosphatidic acid phosphatase type 2A,PPAP2A,8611,Membrane Lipid
phosphatidic acid phosphatase type 2B,PPAP2B,8613,Membrane Lipid
phosphatidic acid phosphatase type 2C,PPAP2C,8612,Membrane Lipid
phosphatidic acid phosphatase type 2 domain containing 1A,PPAPDC1A,196051,Membrane Lipid
phosphatidic acid phosphatase type 2 domain containing 1B,PPAPDC1B,84513,Membrane Lipid
phosphatidic acid phosphatase type 2 domain containing 2,PPAPDC2,403313,Membrane Lipid
phosphatidic acid phosphatase type 2 domain containing 3,PPAPDC3,84814,Membrane Lipid
plasticity-related gene 2,PRG2,79948,Membrane Lipid
phosphatidylserine synthase 1,PTDSS1,9791,Membrane Lipid
phosphatidylserine synthase 2,PTDSS2,81490,Membrane Lipid
"methionine adenosyltransferase I, alpha",MAT1A,4143,Methionine
"methionine adenosyltransferase II, alpha",MAT2A,4144,Methionine
"methionine adenosyltransferase II, beta",MAT2B,27430,Methionine
methionine sulfoxide reductase A,MSRA,4482,Methionine
methionine sulfoxide reductase B2,MSRB2,22921,Methionine
methionine sulfoxide reductase B3,MSRB3,253827,Methionine
5-methyltetrahydrofolate-homocysteine methyltransferase,MTR,4548,Methionine
"selenoprotein X, 1",SEPX1,51734,Methionine
3-hydroxy-3-methylglutaryl-Coenzyme A reductase,HMGCR,3156,Mevalonate
3-hydroxy-3-methylglutaryl-Coenzyme A synthase 1 (soluble),HMGCS1,3157,Mevalonate
3-hydroxy-3-methylglutaryl-Coenzyme A synthase 2 (mitochondrial),HMGCS2,3158,Mevalonate
isopentenyl-diphosphate delta isomerase 1,IDI1,3422,Mevalonate
isopentenyl-diphosphate delta isomerase 2,IDI2,91734,Mevalonate
mevalonate (diphospho) decarboxylase,MVD,4597,Mevalonate
mevalonate kinase (mevalonic aciduria),MVK,4598,Mevalonate
phosphomevalonate kinase,PMVK,10654,Mevalonate
abhydrolase domain containing 1,ABHD1,84696,Multipurpose
abhydrolase domain containing 10,ABHD10,55347,Multipurpose
abhydrolase domain containing 11,ABHD11,83451,Multipurpose
abhydrolase domain containing 12,ABHD12,26090,Multipurpose
abhydrolase domain containing 12B,ABHD12B,145447,Multipurpose
abhydrolase domain containing 13,ABHD13,84945,Multipurpose
abhydrolase domain containing 14A,ABHD14A,25864,Multipurpose
abhydrolase domain containing 14B,ABHD14B,84836,Multipurpose
abhydrolase domain containing 2,ABHD2,11057,Multipurpose
abhydrolase domain containing 3,ABHD3,171586,Multipurpose
abhydrolase domain containing 4,ABHD4,63874,Multipurpose
Abhydrolase domain containing 5,ABHD5,51099,Multipurpose
abhydrolase domain containing 6,ABHD6,57406,Multipurpose
abhydrolase domain containing 7,ABHD7,253152,Multipurpose
abhydrolase domain containing 8,ABHD8,79575,Multipurpose
abhydrolase domain containing 9,ABHD9,79852,Multipurpose
amiloride binding protein 1 (amine oxidase (copper-containing)),ABP1,26,Multipurpose
"acylphosphatase 1, erythrocyte (common) type",ACYP1,97,Multipurpose
"acylphosphatase 2, muscle type",ACYP2,98,Multipurpose
"alcohol dehydrogenase 1A (class I), alpha polypeptide",ADH1A,124,Multipurpose
"Alcohol dehydrogenase 1B (class I), beta polypeptide",ADH1B,125,Multipurpose
"alcohol dehydrogenase 1C (class I), gamma polypeptide",ADH1C,126,Multipurpose
"alcohol dehydrogenase 4 (class II), pi polypeptide",ADH4,127,Multipurpose
"alcohol dehydrogenase 5 (class III), chi polypeptide",ADH5,128,Multipurpose
alcohol dehydrogenase 6 (class V),ADH6,130,Multipurpose
"alcohol dehydrogenase 7 (class IV), mu or sigma polypeptide",ADH7,131,Multipurpose
"alcohol dehydrogenase, iron containing, 1",ADHFE1,137872,Multipurpose
"Aldo-keto reductase family 1, member A1 (aldehyde reductase)",AKR1A1,10327,Multipurpose
"aldo-keto reductase family 1, member B1 (aldose reductase)",AKR1B1,231,Multipurpose
"aldo-keto reductase family 1, member B10 (aldose reductase)",AKR1B10,57016,Multipurpose
"aldo-keto reductase family 1, member C1 (dihydrodiol dehydrogenase 1; 20-alpha (3-alpha)-hydroxysteroid dehydrogenase)",AKR1C1,1645,Multipurpose
"Aldo-keto reductase family 1, member C2 (dihydrodiol dehydrogenase 2; bile acid binding protein; 3-alpha hydroxysteroid dehydrogenase, type III)",AKR1C2,1646,Multipurpose
"aldo-keto reductase family 1, member C3 (3-alpha hydroxysteroid dehydrogenase, type II)",AKR1C3,8644,Multipurpose
"aldo-keto reductase family 1, member C-like 2",AKR1CL2,83592,Multipurpose
"aldo-keto reductase family 7, member A2 (aflatoxin aldehyde reductase)",AKR7A2,8574,Multipurpose
"aldo-keto reductase family 7, member A3 (aflatoxin aldehyde reductase)",AKR7A3,22977,Multipurpose
"aldehyde dehydrogenase 16 family, member A1",ALDH16A1,126133,Multipurpose
"aldehyde dehydrogenase 1 family, member A1",ALDH1A1,216,Multipurpose
"aldehyde dehydrogenase 1 family, member A2",ALDH1A2,8854,Multipurpose
"aldehyde dehydrogenase 1 family, member A3",ALDH1A3,220,Multipurpose
"aldehyde dehydrogenase 1 family, member B1",ALDH1B1,219,Multipurpose
"aldehyde dehydrogenase 1 family, member L1",ALDH1L1,10840,Multipurpose
"aldehyde dehydrogenase 1 family, member L2",ALDH1L2,160428,Multipurpose
aldehyde dehydrogenase 2 family (mitochondrial),ALDH2,217,Multipurpose
"aldehyde dehydrogenase 3 family, memberA1",ALDH3A1,218,Multipurpose
"aldehyde dehydrogenase 3 family, member A2",ALDH3A2,224,Multipurpose
"aldehyde dehydrogenase 3 family, member B1",ALDH3B1,221,Multipurpose
"aldehyde dehydrogenase 3 family, member B2",ALDH3B2,222,Multipurpose
"aldehyde dehydrogenase 6 family, member A1",ALDH6A1,4329,Multipurpose
"aldehyde dehydrogenase 7 family, member A1",ALDH7A1,501,Multipurpose
"aldehyde dehydrogenase 8 family, member A1",ALDH8A1,64577,Multipurpose
"aldehyde dehydrogenase 9 family, member A1",ALDH9A1,223,Multipurpose
"amine oxidase, copper containing 2 (retina-specific)",AOC2,314,Multipurpose
"amine oxidase, copper containing 3 (vascular adhesion protein 1)",AOC3,8639,Multipurpose
Arylsulfatase A,ARSA,410,Multipurpose
arylsulfatase B,ARSB,411,Multipurpose
arylsulfatase D,ARSD,414,Multipurpose
arylsulfatase E (chondrodysplasia punctata 1),ARSE,415,Multipurpose
arylsulfatase F,ARSF,416,Multipurpose
arylsulfatase G,ARSG,22901,Multipurpose
arylsulfatase H,ARSH,347527,Multipurpose
"arylsulfatase family, member I",ARSI,340075,Multipurpose
"arylsulfatase family, member J",ARSJ,79642,Multipurpose
"Arylsulfatase family, member K",ARSK,153642,Multipurpose
AU RNA binding protein/enoyl-Coenzyme A hydratase,AUH,549,Multipurpose
carbonic anhydrase I,CA1,759,Multipurpose
carbonic anhydrase X,CA10,56934,Multipurpose
carbonic anhydrase XI,CA11,770,Multipurpose
carbonic anhydrase XII,CA12,771,Multipurpose
carbonic anhydrase XIII,CA13,377677,Multipurpose
carbonic anhydrase XIV,CA14,23632,Multipurpose
carbonic anhydrase II,CA2,760,Multipurpose
"carbonic anhydrase III, muscle specific",CA3,761,Multipurpose
carbonic anhydrase IV,CA4,762,Multipurpose
"carbonic anhydrase VA, mitochondrial",CA5A,763,Multipurpose
"carbonic anhydrase VB, mitochondrial",CA5B,11238,Multipurpose
carbonic anhydrase VI,CA6,765,Multipurpose
carbonic anhydrase VII,CA7,766,Multipurpose
carbonic anhydrase VIII,CA8,767,Multipurpose
carbonic anhydrase IX,CA9,768,Multipurpose
carbonyl reductase 1,CBR1,873,Multipurpose
carbonyl reductase 3,CBR3,874,Multipurpose
carbonyl reductase 4,CBR4,84869,Multipurpose
dihydrolipoamide dehydrogenase,DLD,1738,Multipurpose
"gamma-glutamyl hydrolase (conjugase, folylpolygammaglutamyl hydrolase)",GGH,8836,Multipurpose
gamma-glutamyltransferase 1,GGT1,2678,Multipurpose
gamma-glutamyltransferase 2,GGT2,728441,Multipurpose
gamma-glutamyltransferase 5,GGT5,2687,Multipurpose
gamma-glutamyltransferase 6 homolog (rat),GGT6,124975,Multipurpose
gamma-glutamyltransferase 7,GGT7,2686,Multipurpose
gamma-glutamyltransferase-like activity 4,GGTLC1,92086,Multipurpose
gamma-glutamyltransferase light chain 2,GGTLC2,91227,Multipurpose
"glutamic-oxaloacetic transaminase 1, soluble (aspartate aminotransferase 1)",GOT1,2805,Multipurpose
glutamic-oxaloacetic transaminase 1-like 1,GOT1L1,137362,Multipurpose
"glutamic-oxaloacetic transaminase 2, mitochondrial (aspartate aminotransferase 2)",GOT2,2806,Multipurpose
glutathione transferase zeta 1 (maleylacetoacetate isomerase),GSTZ1,2954,Multipurpose
3-hydroxymethyl-3-methylglutaryl-Coenzyme A lyase (hydroxymethylglutaricaciduria),HMGCL,3155,Multipurpose
3-hydroxymethyl-3-methylglutaryl-Coenzyme A lyase-like 1,HMGCLL1,54511,Multipurpose
plasticity related gene 1,LPPR4,9890,Multipurpose
"MAK10 homolog, amino-acid N-acetyltransferase subunit (S. cerevisiae)",MAK10,60560,Multipurpose
monoamine oxidase A,MAOA,4128,Multipurpose
Monoamine oxidase B,MAOB,4129,Multipurpose
N-acetyltransferase 1 (arylamine N-acetyltransferase),NAT1,9,Multipurpose
N-acetyltransferase 10,NAT10,55226,Multipurpose
N-acetyltransferase 11,NAT11,79829,Multipurpose
N-acetyltransferase 12,NAT12,122830,Multipurpose
N-acetyltransferase 13,NAT13,80218,Multipurpose
N-acetyltransferase 14,NAT14,57106,Multipurpose
N-acetyltransferase 15,NAT15,79903,Multipurpose
N-acetyltransferase 2 (arylamine N-acetyltransferase),NAT2,10,Multipurpose
N-acetyltransferase 5,NAT5,51126,Multipurpose
N-acetyltransferase 6,NAT6,24142,Multipurpose
N-acetyltransferase 8,NAT8,9027,Multipurpose
N-acetyltransferase 8B ,NAT8B,51471,Multipurpose
N-acetyltransferase 8-like,NAT8L,339983,Multipurpose
N-acetyltransferase 9,NAT9,26151,Multipurpose
P450 (cytochrome) oxidoreductase,POR,5447,Multipurpose
"zinc binding alcohol dehydrogenase, domain containing 2",ZADH2,284273,Multipurpose
bone marrow stromal cell antigen 1,BST1,683,NAD
Chromosome 9 ORF 95,C9ORF95,54981,NAD
dual oxidase 1,DUOX1,53905,NAD
dual oxidase 2,DUOX2,50506,NAD
NAD kinase,NADK,65220,NAD
NAD synthetase 1,NADSYN1,55191,NAD
nicotinate phosphoribosyltransferase domain containing 1,NAPRT1,93100,NAD
nicotinamide nucleotide adenylyltransferase 1,NMNAT1,64802,NAD
nicotinamide nucleotide adenylyltransferase 2,NMNAT2,23057,NAD
nicotinamide nucleotide adenylyltransferase 3,NMNAT3,349565,NAD
nicotinamide N-methyltransferase,NNMT,4837,NAD
nicotinamide nucleotide transhydrogenase,NNT,23530,NAD
NADPH oxidase 1,NOX1,27035,NAD
NADPH oxidase 3,NOX3,50508,NAD
NADPH oxidase 4,NOX4,50507,NAD
"NADPH oxidase, EF-hand calcium binding domain 5",NOX5,79400,NAD
"NAD(P)H dehydrogenase, quinone 1",NQO1,1728,NAD
"NAD(P)H dehydrogenase, quinone 2",NQO2,4835,NAD
quinolinate phosphoribosyltransferase (nicotinate-nucleotide pyrophosphorylase (carboxylating)),QPRT,23475,NAD
4-aminobutyrate aminotransferase,ABAT,18,Neurotransmitter
acetylcholinesterase (Yt blood group),ACHE,43,Neurotransmitter
choline acetyltransferase,CHAT,1103,Neurotransmitter
choline dehydrogenase,CHDH,55349,Neurotransmitter
catechol-O-methyltransferase,COMT,1312,Neurotransmitter
catechol-O-methyltransferase domain containing 1,COMTD1,118881,Neurotransmitter
dopamine beta-hydroxylase (dopamine beta-monooxygenase),DBH,1621,Neurotransmitter
dopa decarboxylase (aromatic L-amino acid decarboxylase),DDC,1644,Neurotransmitter
N-acetylated alpha-linked acidic dipeptidase 2,NAALAD2,10003,Neurotransmitter
N-acetylated alpha-linked acidic dipeptidase-like 1,NAALADL1,10004,Neurotransmitter
N-acetylated alpha-linked acidic dipeptidase-like 2,NAALADL2,254827,Neurotransmitter
phenylethanolamine N-methyltransferase,PNMT,5409,Neurotransmitter
serine racemase,SRR,63826,Neurotransmitter
tyrosine hydroxylase,TH,7054,Neurotransmitter
